Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission,Price
Toyota Etios Liva [2010-2017] V,Toyota,Etios Liva,2011,red,hatchback,50009.00,1st,5,petrol,45,"4-Cylinder 16V, DOHC",1496,5-Speed,Manual,79,104,17.71,BS IV,439000.00
Maruti Suzuki S-Presso VXI+,Maruti Suzuki,S-Presso,2021,grey,hatchback,15113.00,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.01,BS IV,543000.00
Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX,Hyundai,Verna,2014,white,sedan,50071.00,1st,5,petrol,43,Front Wheel Drive,1591,5-Speed,Automatic,121,158,17.01,BS III,689000.00
Maruti Suzuki Eeco AC 5 STR,Maruti Suzuki,Eeco,2020,white,muv,9832.00,1st,5,petrol,40,Aluminium 32 bit,1197,5-Speed,Manual,72.42,98,16.11,BS IV,495000.00
Ford Freestyle [2017-2021] Titanium 1.2,Ford,Freestyle,2018,grey,crossover,43273.00,1st,5,petrol,42,1.2 litre Petrol Engine,1298,5-Speed,Automatic,94.93,119,18.50,BS IV,617000.00
Maruti Suzuki Ritz [2012-2017] Vxi,Maruti Suzuki,Ritz,2014,silver,hatchback,44193.00,1st,5,petrol,43,inline 4 cylinder petrol engine,1197,5-Speed,Manual,85,113,18.50,BS IV,469000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,red,sedan,36208.00,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,4-Speed,Manual,81.86,113.75,20.14,BS V,669000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,red,sedan,36208.00,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,4-Speed,Manual,81.86,113.75,20.14,BS V,669000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,red,sedan,36208.00,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,4-Speed,Manual,81.86,113.75,20.14,BS V,669000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,red,sedan,36208.00,1st,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,4-Speed,Manual,81.86,113.75,20.14,BS V,669000.00
Hyundai i20 Active [2015-2020] 1.2 SX,Hyundai,i20 Active,2017,brown,crossover,43613.00,1st,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Automatic,82,115,17.19,BS V,752000.00
Honda City [2017-2020] ZX CVT,Honda,City,2018,brown,sedan,46006.00,1st,5,petrol,40,i VTEC Engine,1196,5-Speed,Automatic,117.6,145,18.00,BS V,1132000.00
Hyundai i20 Active [2015-2020] 1.2 SX,Hyundai,i20 Active,2018,brown,crossover,35015.00,2nd,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Automatic,82,115,17.19,BS V,760000.00
Hyundai Eon [2011-2018] Era + (O),Hyundai,Eon,2017,white,hatchback,55670.00,1st,5,petrol,32,Petrol Engine,1798,5-Speed,Manual,55.2,74.5,21.10,BS IV,367000.00
Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT,Hyundai,Grand i10,2018,silver,hatchback,38961.00,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.90,BS V,568000.00
Hyundai Verna SX Opt IVT Petrol,Hyundai,Verna,2020,blue,sedan,41843.00,1st,5,petrol,45,"1.5 l MPi	",1497,5-Speed,Automatic,113,144,18.40,BS IV,1448000.00
Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2018,white,hatchback,13846.00,2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Automatic,81.86,113.75,18.90,BS V,579000.00
Maruti Suzuki Alto K10 [2014-2019] VXI AMT (O),Maruti Suzuki,Alto K10,2019,orange,hatchback,16712.00,2nd,5,petrol,35,K Series Petrol Engine,1798,5-Speed,Manual,67.1,90,23.95,BS V,475000.00
Ford EcoSport [2013-2015] Titanium 1.5L TDCi (Opt),Ford,EcoSport,2015,red,suv,92474.00,2nd,5,diesel,52,1.5L DV5 (Diesel),1498,5-Speed,Manual,89,204,22.70,BS III,635000.00
Maruti Suzuki Ciaz [2014-2017] ZXi,Maruti Suzuki,Ciaz,2014,black,sedan,44815.00,1st,5,petrol,43,k14B VVT Engine,1373,5-Speed,Manual,91,130,20.73,BS IV,647000.00
Honda City VX,Honda,City,2020,white,sedan,13209.00,1st,5,petrol,40,1.5L i-VTEC Petrol Engine,1498,6-Speed,Manual,119.3,145,18.40,BS IV,1314000.00
